話者,I(明瞭さ),F(親密さ),C(社会階層)
K004_017_1,2.1070073893241985,-1.1044521440108377,0.998742171326747
K004_017_2,2.114597943676745,-1.471879087341956,1.129612040622488
K004_020_1,2.080255642974896,-0.9853389540490932,0.9643308721374937
K004_020_2,2.3235460191981927,-1.3091178650852484,1.2908740153260807
K004_022_1,1.9422407613717818,-1.754915271714845,0.924561342971998
K004_022_2,2.288808747450773,-1.745387538341803,1.4268079427532734
K005_001_1,2.28682885501177,-1.7302322100581595,1.4417967870883388
K005_001_2,1.9848506502786911,-1.1938624142406824,0.9898210396742732
K005_002_1,2.028375353177159,-1.066104516686577,0.954811944787856
K005_002_2,1.9181646777763466,-0.8492765086307169,0.7010827623301604
K005_003_1,1.9615143500247771,-1.179518301680232,0.7950686664041708
K005_003_2,1.5980292639449383,-0.7499755930879622,0.23668624450915543
K005_005_1,1.8343779080848963,-1.3353606915296525,0.6876133539329615
K005_005_2,2.7413340113568947,-2.1041377889334285,1.5782340437538798
K005_006_1,2.1050778342745993,-1.2798806022234408,1.228724800339953
K005_006_2,1.6669419919411548,-1.1204143193008917,0.6435879717349139
K005_012_1,1.861458722856571,-0.8077908143841065,0.6993797883983943
K005_012_2,1.7128137171730935,-0.7854472086480087,0.7902575144472904
K005_016_1,2.0777346320440233,-1.1707399619793764,0.9645648813049946
K005_016_2,1.8237366661580507,-0.9935738661382651,0.6049680152862008
K005_019_1,1.8126507141532187,-1.2955458807769593,0.7260050706265844
K005_019_2,1.6676765322768587,-1.0640394088669947,0.6879240162822252
K005_019_1,2.2141303708928466,-1.364588207767899,1.1065323514116518
K005_019_2,2.1856138942906234,-1.5119359325778337,1.2396683175438235
K005_020_1,2.1054084614593886,-1.3387822640477955,1.0431509328741524
K005_020_2,1.767988424423615,-0.7817007147993061,0.7058073564097658
K005_021_1,1.9291041502149688,-0.9990797193143909,0.6693665870287279
K005_021_2,2.6243126048744827,-1.9041993023102741,1.5746825370511581
K005_021_1,1.793981440721241,-0.5858432684933417,0.2916447067917498
K005_021_2,2.486269138655301,-1.9006337985252,1.5809726192842184
K005_024_1,2.0780422168026242,-0.6723861449647207,0.5262019630677092
K005_024_2,1.5243172668915246,-0.29093327875562824,0.23353357648573225
K005_027_1,2.1685795773615393,-1.4328558960648712,1.0566143652764486
K005_027_2,2.210341825571688,-1.2502957131786108,0.9806595852198191
K005_028_1,1.6527106816961887,-0.8173022889896228,0.27146780534602405
K005_028_2,2.3784156667003526,-1.4994959942499517,1.2609014500136129
K005_031_1,2.395304150983127,-1.6150316291610494,1.025602014584754
K005_031_2,2.299192869318765,-1.2555812631920764,1.0756421285486049
K005_033_1,1.2912270261609942,-0.4987125045175283,-0.22502396056775145
K005_033_2,2.188691227890883,-1.7150437589044278,1.3599276556642985
K006_002_1,2.0947180028452115,-1.5938673341677099,0.8858680777301338
K006_002_2,2.263618218923101,-1.4806738687682635,1.1560753096909797
K006_002_1,1.9548480012455722,-1.2423112058465282,0.8767330183564398
K006_002_2,2.004867768840343,-0.9544817927170868,0.7541245343267692
K006_003_1,2.0919029090235317,-1.0863343668018128,0.8920475431932358
K006_003_2,2.1789533097112033,-1.2259793052475978,0.9958778339891321
K006_003_1,1.9787213303311204,-0.9964912960880861,0.7255797200210276
K006_003_2,2.021022300456324,-1.0946620327050753,0.793813394236582
K006_006_1,2.0768808221372823,-1.4760796891940728,1.0130299849390714
K006_006_2,1.8227630895667295,-1.1555981458370477,0.681441628022151
K006_009_1,2.5508432549367215,-2.6750833748909115,1.7599581612820132
K006_009_2,1.670931308233217,-1.3782686236232617,0.5394207416536774
K006_011_1,2.128339676066034,-1.2924379930902907,1.014483545551204
K006_011_2,1.9043417692129092,-1.309905960545853,0.8216563914329494
K006_013_1,1.8237363982329657,-0.870082463307611,0.6854374117736826
K006_013_2,1.2981848292693556,-0.05448442072645911,-0.2110077788883577
K006_016_1,1.9092973536605424,-1.047455756847737,0.745350130455159
K006_016_2,1.8771161155187812,-1.0093578186932615,0.906165189615006
K006_017_1,2.076425914383602,-1.7468273709559876,0.9119957781463521
K006_017_2,2.5407313309698956,-2.1028139124683056,1.5504344045655614
K006_018_1,2.311804463610933,-1.806013468109747,1.0709611129807175
K006_018_2,2.4280002188635095,-2.1452857598710184,1.2658862032121554
K006_020_1,2.237389903616531,-1.7904564192470804,1.0885914916583137
K006_020_2,2.265191087945143,-1.9028335681525224,1.1940042488983642
K006_021_1,2.028382137421223,-1.6619634916543147,0.844787791237259
K006_021_2,2.1501682740388377,-1.286756307756204,0.827331005368218
