,話者,I(明瞭さ),F(親密さ),C(社会階層)
100,K003_003_1,2.062213496244226,-1.1885203013813312,0.9301885801334242
101,K003_003_2,2.0756295688552826,-1.1771667451719263,0.8885631581279259
102,K003_005_1,2.138684732973888,-1.401144306224925,1.0329010233161167
103,K003_005_2,2.2156930986152594,-1.382056863011835,1.1003891668652206
104,K003_006_1,2.1499390417174653,-1.1689765847253628,0.7236911977440441
105,K003_006_2,2.208767451915701,-1.398480099410216,0.9872178494763547
106,K003_008_1,1.8765620184816245,-0.8224719879465912,0.449427820338189
107,K003_008_2,1.927070471821219,-1.088638378277503,0.6736267848580887
108,K003_012_1,1.9308830994224255,-1.1162755879790942,0.5816603215469308
109,K003_012_2,1.8686688288494238,-0.8821770673921666,0.636034340150024
110,K003_012_1,2.156669801890413,-1.3012807566730624,0.9205385672492431
111,K003_012_2,1.8629839872009557,-1.1593742440876027,0.7163228013909992
112,K003_013_1,2.0236669048011575,-1.172587544406583,0.778754431490077
113,K003_013_2,2.0644191260301015,-1.202785056980925,0.8944290715628868
114,K003_013_1,1.7698103884874314,-1.123360362508943,0.6128538169341993
115,K003_013_2,2.2199125585778994,-1.3978744833813774,1.0890587681525772
116,K003_014_1,2.0544802681146237,-1.2980395167895167,0.8372430221117493
117,K003_014_2,2.0854692481027346,-1.172444324389219,0.9683109725798436
118,K003_017_1,1.994777336606422,-1.068143995795743,0.6756264336907728
119,K003_017_2,2.0339922014585743,-1.1664582682088152,0.8930791499293098
120,K004_001_1,2.0255953282563786,-1.2847152525798402,1.0701400029637076
121,K004_001_2,1.4714844474343551,-0.15133865583812248,0.03721198851833023
122,K004_005_1,1.8538926269422722,-1.390178143473398,0.8539357543025268
123,K004_005_2,2.166040035071555,-1.7144183168316836,0.8063243451692322
124,K004_007_1,2.052210165203599,-1.2146794812474384,0.9480342378244547
125,K004_007_2,2.04700453021691,-1.4526063298882768,1.0380167888332483
126,K004_008_1,1.9667753686945648,-0.9098448847843635,0.6123335653501579
127,K004_008_2,1.8940108581644028,-0.6693807007859531,0.5359670977181947
128,K004_010_1,1.51775624534154,-1.3592430996869962,0.3728488567182778
129,K004_010_2,2.4194623745278925,-1.9552685722683516,1.3093099186511958
130,K004_011_1,1.9683809214196264,-1.0341391665929403,0.7655138799654384
131,K004_011_2,1.953802608476079,-1.0394739922281002,0.9421846944643297
132,K004_012_1,2.003714835403534,-1.881161133260417,0.9339101326579408
133,K004_012_2,2.3144454380105968,-1.999333220182819,1.1331007403265212
134,K004_013_1,1.3604976393457295,-1.3358588089768508,0.17324081924055107
135,K004_013_2,1.4984571075910305,-0.14465333967951763,0.11665406903502111
136,K004_015_1,2.0331149572666227,-1.3374900844570952,0.8362080382670748
137,K004_015_2,2.1247820897545475,-1.0105345415746205,0.7717388850001131
138,K004_017_1,2.117391477129724,-1.1297323588179617,1.0186321440850543
139,K004_017_2,2.1386549987130934,-1.5129362799980526,1.1622084628374243
140,K004_020_1,2.0974812733343327,-1.0099707712615502,0.9965463405402847
141,K004_020_2,2.3158381125818814,-1.3069142673659422,1.2975461784302038
