,Name,Question,Scores
528,toge7188,Q17_1,4
529,toge7188,Q17_2,5
530,toge7188,Q17_3,4
531,toge7188,Q18_1,5
532,toge7188,Q18_2,7
533,toge7188,Q18_3,6
534,toge7188,Q19_1,6
535,toge7188,Q19_2,6
536,toge7188,Q19_3,5
537,toge7188,Q20_1,4
538,toge7188,Q20_2,6
539,toge7188,Q20_3,4
540,toge7188,Q181_1,5
541,toge7188,Q181_2,6
542,toge7188,Q181_3,6
543,toge7188,Q182_1,5
544,toge7188,Q182_2,6
545,toge7188,Q182_3,6
546,toge7188,Q183_1,6
547,toge7188,Q183_2,6
548,toge7188,Q183_3,6
549,toge7188,Q184_1,6
550,toge7188,Q184_2,5
551,toge7188,Q184_3,6
552,toge7188,Q185_1,5
553,toge7188,Q185_2,4
554,toge7188,Q185_3,5
555,toge7188,Q186_1,4
556,toge7188,Q186_2,5
557,toge7188,Q186_3,5
558,toge7188,Q187_1,5
559,toge7188,Q187_2,4
560,toge7188,Q187_3,5
561,toge7188,Q188_1,5
562,toge7188,Q188_2,5
563,toge7188,Q188_3,5
564,toge7188,Q189_1,4
565,toge7188,Q189_2,4
566,toge7188,Q189_3,4
567,toge7188,Q190_1,4
568,toge7188,Q190_2,5
569,toge7188,Q190_3,4
570,toge7188,Q191_1,4
571,toge7188,Q191_2,6
572,toge7188,Q191_3,4
573,toge7188,Q192_1,5
574,toge7188,Q192_2,2
575,toge7188,Q192_3,4
576,toge7188,Q193_1,4
577,toge7188,Q193_2,5
578,toge7188,Q193_3,4
579,toge7188,Q194_1,4
580,toge7188,Q194_2,2
581,toge7188,Q194_3,2
582,toge7188,Q195_1,5
583,toge7188,Q195_2,4
584,toge7188,Q195_3,3
585,toge7188,Q196_1,4
586,toge7188,Q196_2,5
587,toge7188,Q196_3,3
588,toge7188,Q197_1,4
589,toge7188,Q197_2,4
590,toge7188,Q197_3,4
591,toge7188,Q198_1,2
592,toge7188,Q198_2,5
593,toge7188,Q198_3,2
594,toge7188,Q199_1,3
595,toge7188,Q199_2,2
596,toge7188,Q199_3,3
597,toge7188,Q200_1,5
598,toge7188,Q200_2,6
599,toge7188,Q200_3,5
600,fumygo,Q1_1,5
601,fumygo,Q1_2,6
602,fumygo,Q1_3,5
603,fumygo,Q2_1,5
604,fumygo,Q2_2,6
605,fumygo,Q2_3,5
606,fumygo,Q3_1,5
607,fumygo,Q3_2,6
608,fumygo,Q3_3,5
609,fumygo,Q4_1,5
610,fumygo,Q4_2,6
611,fumygo,Q4_3,5
612,fumygo,Q5_1,6
613,fumygo,Q5_2,7
614,fumygo,Q5_3,6
615,fumygo,Q6_1,5
616,fumygo,Q6_2,6
617,fumygo,Q6_3,5
618,fumygo,Q7_1,5
619,fumygo,Q7_2,6
620,fumygo,Q7_3,5
621,fumygo,Q8_1,5
622,fumygo,Q8_2,6
623,fumygo,Q8_3,5
624,fumygo,Q9_1,6
625,fumygo,Q9_2,7
626,fumygo,Q9_3,5
627,fumygo,Q10_1,6
628,fumygo,Q10_2,6
629,fumygo,Q10_3,5
630,fumygo,Q11_1,5
631,fumygo,Q11_2,6
632,fumygo,Q11_3,5
633,fumygo,Q12_1,6
634,fumygo,Q12_2,6
635,fumygo,Q12_3,5
636,fumygo,Q13_1,6
637,fumygo,Q13_2,6
638,fumygo,Q13_3,5
639,fumygo,Q14_1,5
640,fumygo,Q14_2,5
641,fumygo,Q14_3,4
642,fumygo,Q15_1,6
643,fumygo,Q15_2,6
644,fumygo,Q15_3,5
645,fumygo,Q16_1,5
646,fumygo,Q16_2,6
647,fumygo,Q16_3,5
648,fumygo,Q17_1,5
649,fumygo,Q17_2,7
650,fumygo,Q17_3,5
651,fumygo,Q18_1,6
652,fumygo,Q18_2,6
653,fumygo,Q18_3,5
654,fumygo,Q19_1,6
655,fumygo,Q19_2,7
656,fumygo,Q19_3,6
657,fumygo,Q20_1,5
658,fumygo,Q20_2,6
659,fumygo,Q20_3,5
660,fumygo,Q181_1,5
661,fumygo,Q181_2,6
662,fumygo,Q181_3,5
663,fumygo,Q182_1,6
664,fumygo,Q182_2,6
665,fumygo,Q182_3,5
666,fumygo,Q183_1,5
667,fumygo,Q183_2,7
668,fumygo,Q183_3,5
669,fumygo,Q184_1,6
670,fumygo,Q184_2,6
671,fumygo,Q184_3,5
672,fumygo,Q185_1,6
673,fumygo,Q185_2,6
674,fumygo,Q185_3,5
675,fumygo,Q186_1,5
676,fumygo,Q186_2,6
677,fumygo,Q186_3,5
678,fumygo,Q187_1,4
679,fumygo,Q187_2,6
680,fumygo,Q187_3,5
681,fumygo,Q188_1,6
682,fumygo,Q188_2,6
683,fumygo,Q188_3,5
684,fumygo,Q189_1,5
685,fumygo,Q189_2,6
686,fumygo,Q189_3,5
687,fumygo,Q190_1,4
688,fumygo,Q190_2,5
689,fumygo,Q190_3,5
690,fumygo,Q191_1,6
691,fumygo,Q191_2,6
692,fumygo,Q191_3,5
693,fumygo,Q192_1,6
694,fumygo,Q192_2,4
695,fumygo,Q192_3,5
696,fumygo,Q193_1,5
697,fumygo,Q193_2,4
698,fumygo,Q193_3,4
699,fumygo,Q194_1,5
700,fumygo,Q194_2,4
701,fumygo,Q194_3,5
702,fumygo,Q195_1,7
703,fumygo,Q195_2,6
704,fumygo,Q195_3,4
705,fumygo,Q196_1,5
706,fumygo,Q196_2,5
707,fumygo,Q196_3,5
708,fumygo,Q197_1,6
709,fumygo,Q197_2,6
710,fumygo,Q197_3,4
711,fumygo,Q198_1,3
712,fumygo,Q198_2,5
713,fumygo,Q198_3,4
714,fumygo,Q199_1,6
715,fumygo,Q199_2,4
716,fumygo,Q199_3,5
717,fumygo,Q200_1,5
718,fumygo,Q200_2,6
719,fumygo,Q200_3,5
720,rag_55,Q1_1,5
721,rag_55,Q1_2,7
722,rag_55,Q1_3,2
723,rag_55,Q2_1,4
724,rag_55,Q2_2,6
725,rag_55,Q2_3,3
726,rag_55,Q3_1,4
727,rag_55,Q3_2,6
728,rag_55,Q3_3,3
729,rag_55,Q4_1,4
730,rag_55,Q4_2,3
731,rag_55,Q4_3,5
732,rag_55,Q5_1,6
733,rag_55,Q5_2,6
734,rag_55,Q5_3,4
735,rag_55,Q6_1,5
736,rag_55,Q6_2,6
737,rag_55,Q6_3,3
738,rag_55,Q7_1,3
739,rag_55,Q7_2,6
740,rag_55,Q7_3,3
741,rag_55,Q8_1,4
742,rag_55,Q8_2,6
743,rag_55,Q8_3,4
744,rag_55,Q9_1,5
745,rag_55,Q9_2,5
746,rag_55,Q9_3,3
747,rag_55,Q10_1,4
748,rag_55,Q10_2,5
749,rag_55,Q10_3,4
750,rag_55,Q11_1,6
751,rag_55,Q11_2,7
752,rag_55,Q11_3,3
753,rag_55,Q12_1,5
754,rag_55,Q12_2,5
755,rag_55,Q12_3,5
756,rag_55,Q13_1,6
757,rag_55,Q13_2,6
758,rag_55,Q13_3,4
759,rag_55,Q14_1,5
760,rag_55,Q14_2,5
761,rag_55,Q14_3,4
762,rag_55,Q15_1,5
763,rag_55,Q15_2,6
764,rag_55,Q15_3,3
765,rag_55,Q16_1,4
766,rag_55,Q16_2,6
767,rag_55,Q16_3,3
768,rag_55,Q17_1,4
769,rag_55,Q17_2,6
770,rag_55,Q17_3,3
771,rag_55,Q18_1,5
772,rag_55,Q18_2,6
773,rag_55,Q18_3,4
774,rag_55,Q19_1,5
775,rag_55,Q19_2,6
776,rag_55,Q19_3,4
777,rag_55,Q20_1,4
778,rag_55,Q20_2,5
779,rag_55,Q20_3,4
780,rag_55,Q181_1,5
781,rag_55,Q181_2,6
782,rag_55,Q181_3,3
783,rag_55,Q182_1,4
784,rag_55,Q182_2,5
785,rag_55,Q182_3,4
786,rag_55,Q183_1,7
787,rag_55,Q183_2,7
788,rag_55,Q183_3,3
789,rag_55,Q184_1,5
790,rag_55,Q184_2,3
791,rag_55,Q184_3,4
792,rag_55,Q185_1,5
793,rag_55,Q185_2,5
794,rag_55,Q185_3,4
795,rag_55,Q186_1,2
796,rag_55,Q186_2,6
797,rag_55,Q186_3,5
798,rag_55,Q187_1,5
799,rag_55,Q187_2,3
800,rag_55,Q187_3,4
801,rag_55,Q188_1,6
802,rag_55,Q188_2,5
803,rag_55,Q188_3,5
804,rag_55,Q189_1,3
805,rag_55,Q189_2,6
806,rag_55,Q189_3,4
807,rag_55,Q190_1,4
808,rag_55,Q190_2,6
809,rag_55,Q190_3,4
810,rag_55,Q191_1,5
811,rag_55,Q191_2,6
812,rag_55,Q191_3,3
813,rag_55,Q192_1,5
814,rag_55,Q192_2,3
815,rag_55,Q192_3,5
816,rag_55,Q193_1,4
817,rag_55,Q193_2,5
818,rag_55,Q193_3,4
819,rag_55,Q194_1,4
820,rag_55,Q194_2,4
821,rag_55,Q194_3,3
822,rag_55,Q195_1,5
823,rag_55,Q195_2,6
824,rag_55,Q195_3,2
825,rag_55,Q196_1,3
826,rag_55,Q196_2,4
827,rag_55,Q196_3,3
828,rag_55,Q197_1,5
829,rag_55,Q197_2,6
830,rag_55,Q197_3,3
831,rag_55,Q198_1,3
832,rag_55,Q198_2,5
833,rag_55,Q198_3,3
834,rag_55,Q199_1,3
835,rag_55,Q199_2,3
836,rag_55,Q199_3,5
837,rag_55,Q200_1,6
838,rag_55,Q200_2,5
839,rag_55,Q200_3,3
840,yoimachigusa,Q1_1,7
841,yoimachigusa,Q1_2,7
842,yoimachigusa,Q1_3,5
843,yoimachigusa,Q2_1,7
844,yoimachigusa,Q2_2,7
845,yoimachigusa,Q2_3,5
846,yoimachigusa,Q3_1,6
847,yoimachigusa,Q3_2,6
848,yoimachigusa,Q3_3,6
849,yoimachigusa,Q4_1,7
850,yoimachigusa,Q4_2,2
851,yoimachigusa,Q4_3,7
852,yoimachigusa,Q5_1,7
853,yoimachigusa,Q5_2,7
854,yoimachigusa,Q5_3,6
855,yoimachigusa,Q6_1,2
856,yoimachigusa,Q6_2,5
857,yoimachigusa,Q6_3,4
858,yoimachigusa,Q7_1,6
859,yoimachigusa,Q7_2,5
860,yoimachigusa,Q7_3,5
861,yoimachigusa,Q8_1,5
862,yoimachigusa,Q8_2,5
863,yoimachigusa,Q8_3,5
864,yoimachigusa,Q9_1,4
865,yoimachigusa,Q9_2,6
866,yoimachigusa,Q9_3,4
867,yoimachigusa,Q10_1,7
868,yoimachigusa,Q10_2,6
869,yoimachigusa,Q10_3,6
870,yoimachigusa,Q11_1,7
871,yoimachigusa,Q11_2,7
872,yoimachigusa,Q11_3,5
873,yoimachigusa,Q12_1,6
874,yoimachigusa,Q12_2,5
875,yoimachigusa,Q12_3,5
876,yoimachigusa,Q13_1,7
877,yoimachigusa,Q13_2,6
878,yoimachigusa,Q13_3,5
879,yoimachigusa,Q14_1,7
880,yoimachigusa,Q14_2,7
881,yoimachigusa,Q14_3,4
882,yoimachigusa,Q15_1,6
883,yoimachigusa,Q15_2,5
884,yoimachigusa,Q15_3,5
885,yoimachigusa,Q16_1,5
886,yoimachigusa,Q16_2,6
887,yoimachigusa,Q16_3,5
888,yoimachigusa,Q17_1,3
889,yoimachigusa,Q17_2,4
890,yoimachigusa,Q17_3,3
891,yoimachigusa,Q18_1,3
892,yoimachigusa,Q18_2,4
893,yoimachigusa,Q18_3,5
894,yoimachigusa,Q19_1,7
895,yoimachigusa,Q19_2,6
896,yoimachigusa,Q19_3,5
897,yoimachigusa,Q20_1,7
898,yoimachigusa,Q20_2,6
899,yoimachigusa,Q20_3,6
900,yoimachigusa,Q181_1,6
901,yoimachigusa,Q181_2,6
902,yoimachigusa,Q181_3,5
903,yoimachigusa,Q182_1,6
904,yoimachigusa,Q182_2,6
905,yoimachigusa,Q182_3,4
906,yoimachigusa,Q183_1,7
907,yoimachigusa,Q183_2,7
908,yoimachigusa,Q183_3,4
909,yoimachigusa,Q184_1,7
910,yoimachigusa,Q184_2,5
911,yoimachigusa,Q184_3,5
912,yoimachigusa,Q185_1,3
913,yoimachigusa,Q185_2,2
914,yoimachigusa,Q185_3,2
915,yoimachigusa,Q186_1,4
916,yoimachigusa,Q186_2,5
917,yoimachigusa,Q186_3,5
918,yoimachigusa,Q187_1,4
919,yoimachigusa,Q187_2,5
920,yoimachigusa,Q187_3,4
